역, 이름, 주소, 메뉴
동대문역사문화공원역,5&커피카페,서울 중구 마른내로 157 ,1층(광희동1가),"아메리카노 (1,500원); 카페라떼 (2,500원); 카푸치노 (2,500원); 바닐라라떼 (3,000원); 헤이즐넛 (3,500원); 카페모카 (3,500원); 캬라멜마끼아또 (3,500원); 달고나카페라떼 (3,500원); 연유/흑당/토피넛 (3,500원); 초코/녹차/오곡라떼 (3,000원); 밀크티/흑임자 라떼 (3,000원); 딸기 라떼 (3,000원); 베리베리 라떼 (3,500원); 딸기주스 (3,000원); 딸기바나나 주스 (3,500원); 망고주스 (3,300원); 자몽에이드 (3,000원); 청포도/복숭아 에이드 (3,500원); 레몬/블루레몬 에이드 (3,000원); 패션후르츠 에이드 (3,000원); 깔라만시 에이드 (3,000원); 청귤/쟈스민레몬 에이드 (3,500원); 플레인요거트 스무디 (3,000원); 딸기/블루베리 스무디 (3,000원); 망고/키위/자몽 스무디 (3,000원); 자두/복숭아/유자 스무디 (3,500원); 찐초코쉐이크 스무디 (3,500원); 파인애플 스무디 (3,500원); 꿀배모과 티 (2,500원); 유자/자몽/레몬티 (2,500원); 제주한라봉티 (3,000원); 청귤티 (3,000원); 복숭아아이스티 (2,500원); 레몬청아이스티 (3,000원); 생강레몬티 (3,300원); 히비스커스 (2,500원); 캐모마일 (2,500원); 페퍼민트 (2,500원); 쟈스민 (2,500원); 루이보스 (2,500원); 얼그레이 (2,500원); 유기농녹차/국화티백 (2,500원)"
종각역,경성양꼬치 종로직영점,서울 종로구 삼일대로17길 42-6,"고급갈비 (28,000원); 양꼬치 (16,000원); 어깨갈비 (16,000원); 마라갈비 (16,000원); 옥수수국수(온면) (8,000원); 장어꼬치 (16,000원); 콜키지 (20,000원); 꿔바로우 (20,000원); 마파두부 (13,000원); 얼큰 만두국 (10,000원); 계란탕 (8,000원); 물만두 (6,000원)"
신설동역,곽선생왕만두칼국수,서울 동대문구 왕산로 18,"고기왕만두5개 (6,000원); 김치왕만두5개 (6,000원); 옛날찐빵5개 (6,000원); 갈비만두10개 (6,000원); 고기교자만두8개 (6,000원)"
오류동역,김밥나라 개봉점,서울 구로구 고척로 96,"원조김밥 (2,500원); 참치김밥 (3,500원); 김치김밥 (3,500원); 라면 (4,000원); 떡볶이 (3,000원); 치즈김밥 (3,500원); 오뎅 (3,000원); 우동 (4,000원); 쫄면 (5,000원); 라볶이 (4,000원)"
청량리역,김밥천국분식,서울 동대문구 왕산로 261,"야채김밥 (2,000원); 참치마요김밥 (3,500원); 새우날치알김밥 (4,500원); 참치볶음밥 (6,000원); 야채비빔밥 (5,000원); 된장찌개 (5,000원); 순두부찌개 (5,500원); 돌솥비빔밥 (6,000원); 오므라이스 (6,000원); 육개장 (6,000원); 등심돈까스 (6,000원); 치즈돈까스 (6,500원)"
천호역,마듀 현대백화점 천호점,서울 강동구 천호대로 1005,"딸기타르트 2호 (49,000원); 딸기생크림 1호 (46,000원); 프레지에 1호 (45,000원)"
신도림역,멘지 신도림점,서울 구로구 경인로 661 1층 170호, 171-1호,"풍게구름 속 풍성한 냉라멘 (11,000원); 삼겹이모꾸!모꾸! 풍~빠질 로제파이탄 (15,000원); 차슈가득 토리파이탄 (15,000원); 토리파이탄 라멘 (10,000원); 토핑 오모리! 라멘 세트 (14,000원); 라멘&사이드 세트 (14,000원); 라멘&미니밥 세트 (12,500원); 라멘&소다 세트 (13,500원); 땡초 토리파이탄 (11,000원); 카라 탄탄멘 (11,000원); 토리 쇼유 (간장) (10,000원); 토리 시오 (소금) (10,000원); 에비 타마고 카레동 (13,000원); 치킨 가라아게동 (10,000원); 야끼토리동 (12,000원); 1인 라멘 혼술 세트 (18,000원); 미니 야끼토리동 (4,000원); 치킨 가라아게 (4,000원); 후추 테바나카(3p) (4,500원); 에비후라이(1pcs) (3,000원); 메론소다 (4,000원); 라무네 소다 (4,000원); 아이스캔디츄하이 (7,000원); 멘지 하이볼 (8,000원)"
공릉역,백남옥달인손만두 공릉점,서울 노원구 동일로 1078,"고기통만두 (8개) (5,000원); 김치통만두 (8개) (5,000원); 갈비통만두 (8개) (5,000원); 새우통만두 (5개) (5,000원); 땡초고추만두 (5개) (5,000원); 감자피고기만두 (8개) (5,000원); 감자피김치만두 (8개) (5,000원); 고기왕만두 (5개) (5,000원); 김치왕만두 (5개) (5,000원); 우유쌀찐빵 (5개) (5,000원); 세트 1 (현금이벤트) (14,000원); 세트 2 (현금이벤트) (18,000원); 세트 3 (현금이벤트) (14,000원)"
고덕역,부산진오뎅오뎅,서울 강동구 동남로75길 13-7 배재빌딩 1층 5호,"오뎅 (2,000원); 우동 (6,500원); 마라 우동면 (9,000원); 새송이 버터구이 (14,000원); 마라 차오쇼우(만두) (15,000원); 시사모구이 (16,000원); 오돌뼈 (18,000원); 마라룽샤 (19,000원); 오꼬노미야끼 (20,000원); 골뱅이소면 (20,000원); 마라 어묵탕 (21,000원); 모듬꼬치구이 (21,000원); 생맥주 (5,000원); 대나무통술 (5,500원); 하이볼 (8,000원); 연태 하이볼 (8,000원); 간바래오도상 (40,000원); 준마이750 (35,000원); 히레 (7,500원); 소토닉 (11,000원)"
제기동역,프렌치카페 소딜리셔스,서울 동대문구 왕산로 109,"에스프레소 (3,500원)"
중곡역,수작요리주점,서울 광진구 긴고랑로 18-1 1층,"소곱창전골 (30,000원); 도가니만두전골 (30,000원); 통골뱅이탕 (28,000원); 알곤이탕 (20,000원); 간사이오뎅탕 (18,000원); 관자버터야채구이 (23,000원); 레몬크림새우 (20,000원); 오꼬노미야끼 (14,000원); 타코야끼 (10,000원); 쿠시카츠(꼬치튀김)세트 (18,000원); 시샤모구이 (15,000원); 통마늘똥집튀김 (15,000원); 스팸계란구이 (15,000원); 숨굴투김 (13,000원); 먹태구이 (14,000원); 명란버터구이 (15,000원); 시메사바(고등어초절임) (14,000원); 안키모(아귀간) (14,000원); 타코와사비 (9,000원)"
광나루역,썬더치킨 광장점,서울 광진구 광장로 66-1 1층 101호,"크리스피치킨 포장 (13,000원)"

# 대부분 메뉴가 없음.